TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
NaN	776	1689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	4	45	29	6	14	0	1	NaN	731	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1087	674	NaN	NaN	2772	2445	NaN	NaN	NaN	1	3	33	17	7	14	0	1	NaN	284	637	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1871	NaN	1003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	4	4	8	14	1	1	7	596	330	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2260	1029	1958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	76	12	9	14	2	1	NaN	483	282	NaN	NaN	NaN	NaN	NaN	NaN	NaN
871	1073	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	3	3	10	14	1	1	827	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2342	624	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	77	13	11	14	2	1	NaN	572	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	893	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	73	9	12	14	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1041	2510	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	34	18	13	14	0	1	NaN	982	457	NaN	783	NaN	NaN	NaN	NaN	NaN
NaN	729	2016	3093	NaN	2639	NaN	NaN	NaN	NaN	3	2	44	28	14	14	0	1	NaN	549	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2342	1038	2115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	15	14	2	1	445	628	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	627	2141	NaN	2420	NaN	NaN	NaN	NaN	NaN	3	1	79	15	16	14	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1697	1089	1377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	17	14	1	1	NaN	254	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	603	1906	2560	NaN	NaN	2315	NaN	NaN	NaN	2	3	42	26	18	14	0	1	NaN	559	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	889	2075	NaN	NaN	2782	2568	NaN	NaN	NaN	2	2	38	22	19	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
