TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
2194	927	NaN	NaN	2870	NaN	NaN	NaN	NaN	NaN	3	0	71	7	4	65	2	1	391	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2383	961	NaN	1796	2185	NaN	NaN	NaN	NaN	NaN	3	1	69	5	5	65	2	1	NaN	7	292	NaN	NaN	NaN	NaN	NaN	NaN	NaN
927	NaN	NaN	NaN	2413	NaN	NaN	NaN	NaN	NaN	3	1	15	15	6	65	1	1	869	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2743	742	1189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	7	65	2	1	NaN	NaN	292	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1306	1571	2259	2516	3207	NaN	NaN	NaN	NaN	3	1	47	31	8	65	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1123	425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	9	9	9	65	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1304	NaN	NaN	NaN	2970	1130	3168	2189	NaN	0	4	35	19	10	65	0	1	NaN	7	NaN	NaN	NaN	NaN	860	NaN	NaN	NaN
2168	1142	1560	1754	2357	NaN	NaN	NaN	NaN	NaN	3	0	12	12	11	65	1	1	NaN	515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	654	1142	1806	NaN	3746	3275	NaN	NaN	NaN	3	2	44	28	12	65	0	1	NaN	309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1125	NaN	NaN	NaN	NaN	1722	NaN	NaN	NaN	NaN	3	1	72	8	13	65	2	1	1052	363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2424	491	NaN	NaN	2005	NaN	NaN	NaN	NaN	NaN	3	0	11	11	14	65	1	1	NaN	312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1777	1297	NaN	NaN	NaN	839	NaN	NaN	NaN	NaN	3	1	67	3	15	65	2	1	NaN	7	NaN	NaN	NaN	785	NaN	NaN	NaN	NaN
NaN	1404	835	2694	2105	NaN	NaN	NaN	NaN	NaN	3	1	36	20	16	65	0	1	NaN	7	651	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2060	755	1193	NaN	NaN	1832	NaN	NaN	NaN	2	2	38	22	17	65	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2763	1320	2498	2289	3433	NaN	NaN	NaN	NaN	NaN	3	1	16	16	18	65	1	1	NaN	1276	860	549	1070	7	NaN	NaN	NaN	NaN
NaN	2075	1138	2659	2880	4407	NaN	NaN	NaN	NaN	3	1	34	18	19	65	0	1	NaN	794	639	NaN	353	NaN	NaN	NaN	NaN	NaN
NaN	1801	1257	NaN	NaN	1459	NaN	NaN	NaN	NaN	2	2	48	32	20	65	0	1	NaN	620	1063	NaN	NaN	258	NaN	NaN	NaN	NaN
NaN	1190	NaN	NaN	NaN	3285	859	1995	2657	NaN	0	4	39	23	21	65	0	1	NaN	NaN	NaN	NaN	NaN	545	815	NaN	NaN	NaN
NaN	677	1301	NaN	NaN	1945	2278	3424	NaN	NaN	2	3	42	26	22	65	0	1	NaN	472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1828	780	2796	NaN	NaN	1285	NaN	NaN	NaN	NaN	3	1	14	14	23	65	1	1	NaN	594	449	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2051	999	NaN	1412	1865	NaN	NaN	NaN	NaN	NaN	3	1	10	10	24	65	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
975	NaN	1474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	70	6	25	65	2	1	934	281	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	2221	1038	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	26	65	1	1	NaN	359	NaN	981	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	983	NaN	NaN	NaN	1597	NaN	NaN	NaN	1	3	33	17	27	65	0	1	NaN	7	802	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1496	NaN	NaN	NaN	950	1999	NaN	1264	2409	0	5	43	27	28	65	0	1	NaN	7	NaN	NaN	NaN	900	NaN	NaN	NaN	NaN
NaN	1124	NaN	NaN	NaN	NaN	1686	1503	2828	1289	0	5	40	24	29	65	0	1	NaN	512	NaN	NaN	NaN	NaN	NaN	NaN	322	NaN
NaN	2930	1581	NaN	NaN	2736	1210	2520	3080	NaN	1	4	45	29	30	65	0	1	NaN	517	312	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1962	1096	NaN	NaN	1452	NaN	NaN	NaN	NaN	NaN	3	1	65	1	31	65	2	1	NaN	526	NaN	NaN	288	NaN	NaN	NaN	NaN	NaN
1059	2063	1538	NaN	1188	NaN	NaN	NaN	NaN	NaN	3	0	66	2	32	65	2	1	766	443	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1080	1671	NaN	NaN	2734	813	3815	2264	NaN	1	4	45	29	1	66	0	1	NaN	NaN	7	NaN	NaN	599	NaN	NaN	NaN	NaN
1979	1375	NaN	1264	3369	4103	NaN	NaN	NaN	NaN	3	1	1	1	2	66	1	1	1004	NaN	NaN	1231	289	887	NaN	NaN	NaN	NaN
1087	1988	NaN	2336	2623	1556	NaN	NaN	NaN	NaN	3	1	8	8	3	66	1	1	289	568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	964	2340	2014	1709	2744	NaN	NaN	NaN	NaN	3	1	34	18	4	66	0	1	NaN	467	NaN	NaN	303	NaN	NaN	NaN	NaN	NaN
NaN	649	NaN	NaN	NaN	1442	1985	4002	2227	NaN	0	4	35	19	5	66	0	1	NaN	253	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN
2041	1761	1438	1307	2851	NaN	NaN	NaN	NaN	NaN	3	0	4	4	6	66	1	1	7	NaN	NaN	NaN	553	NaN	NaN	NaN	NaN	NaN
2559	1759	1134	2031	1560	NaN	NaN	NaN	NaN	NaN	3	0	76	12	7	66	2	1	NaN	330	1098	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2292	1002	NaN	3952	2023	NaN	NaN	NaN	NaN	NaN	3	0	75	11	8	66	2	1	NaN	506	NaN	NaN	358	NaN	NaN	NaN	NaN	NaN
NaN	1291	1148	1827	2611	4040	NaN	NaN	NaN	NaN	3	1	36	20	9	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1443	899	2064	2328	3253	NaN	NaN	NaN	NaN	NaN	3	0	2	2	10	66	1	1	304	643	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2470	772	NaN	1680	2281	NaN	NaN	NaN	NaN	NaN	3	0	73	9	11	66	2	1	NaN	7	NaN	NaN	342	NaN	NaN	NaN	NaN	NaN
2221	640	NaN	1485	4339	NaN	NaN	NaN	NaN	NaN	3	0	77	13	12	66	2	1	NaN	450	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	801	2499	1788	2250	2837	NaN	NaN	NaN	NaN	3	1	47	31	13	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2316	877	1516	2134	1916	NaN	NaN	NaN	NaN	NaN	3	1	79	15	14	66	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1611	1011	4148	3750	3519	NaN	NaN	NaN	NaN	NaN	3	1	3	3	15	66	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1672	547	1379	3146	2897	NaN	NaN	NaN	NaN	NaN	3	0	6	6	16	66	1	1	NaN	280	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1401	3157	3031	NaN	1934	2180	4153	NaN	NaN	2	3	37	21	17	66	0	1	NaN	513	NaN	NaN	NaN	280	NaN	NaN	NaN	NaN
NaN	921	2315	NaN	NaN	1633	NaN	NaN	NaN	NaN	2	2	48	32	18	66	0	1	NaN	425	NaN	NaN	NaN	282	NaN	NaN	NaN	NaN
NaN	1371	NaN	NaN	NaN	2170	1031	1970	2391	NaN	0	4	39	23	19	66	0	1	NaN	NaN	NaN	NaN	NaN	717	NaN	NaN	NaN	NaN
NaN	994	NaN	NaN	NaN	1522	1248	NaN	1799	2137	0	5	43	27	20	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	495	NaN	NaN
NaN	1987	1025	NaN	NaN	2443	2240	3004	NaN	NaN	1	3	33	17	21	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
970	3303	2054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	22	66	2	1	912	381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	829	2099	NaN	NaN	2272	2861	2635	NaN	NaN	1	3	41	25	23	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	837	NaN	NaN	NaN	3491	2643	2468	4136	2257	0	5	40	24	24	66	0	1	NaN	591	NaN	NaN	NaN	NaN	NaN	NaN	379	NaN
NaN	983	NaN	1979	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	25	66	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3690	1411	2824	2626	2266	4839	NaN	NaN	NaN	NaN	3	1	80	16	26	66	2	1	NaN	797	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
2114	599	NaN	1894	4043	NaN	NaN	NaN	NaN	NaN	3	0	7	7	27	66	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	648	1496	2300	2811	2467	3620	NaN	NaN	NaN	3	2	44	28	28	66	0	1	NaN	588	NaN	386	NaN	NaN	NaN	NaN	NaN	NaN
2139	1120	NaN	NaN	1923	NaN	NaN	NaN	NaN	NaN	3	1	74	10	29	66	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	472	1886	2286	NaN	NaN	2741	NaN	NaN	NaN	2	2	38	22	30	66	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	956	1477	2498	NaN	2969	2713	3485	NaN	NaN	2	3	42	26	31	66	0	1	NaN	546	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
1125	1420	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	14	14	1	67	1	1	NaN	342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
931	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	2	67	1	1	895	NaN	NaN	399	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1673	1286	NaN	NaN	NaN	2889	NaN	NaN	2	3	37	21	3	67	0	1	NaN	470	NaN	1268	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1000	2042	1446	NaN	3130	2877	NaN	NaN	NaN	2	2	38	22	4	67	0	1	NaN	7	NaN	457	NaN	NaN	NaN	NaN	NaN	NaN
1923	817	NaN	1838	1384	NaN	NaN	NaN	NaN	NaN	3	0	9	9	5	67	1	1	303	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2985	NaN	1422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	16	16	6	67	1	1	NaN	NaN	1390	1189	780	7	NaN	NaN	NaN	NaN
NaN	2525	1836	1673	NaN	2877	1244	NaN	NaN	NaN	2	2	48	32	7	67	0	1	NaN	NaN	301	483	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	1752	3128	NaN	NaN	NaN	2	3	42	26	8	67	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3508	NaN	757	3157	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	9	67	2	1	NaN	NaN	578	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2899	1468	2071	2352	1318	NaN	NaN	NaN	NaN	3	1	47	31	10	67	0	1	NaN	146	NaN	1116	NaN	1256	NaN	NaN	NaN	NaN
NaN	1012	1734	1398	2800	2234	NaN	NaN	NaN	NaN	3	1	36	20	11	67	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	939	NaN	NaN	NaN	NaN	NaN	1344	1898	NaN	0	5	43	27	12	67	0	1	NaN	7	NaN	NaN	NaN	NaN	476	NaN	NaN	NaN
NaN	2206	1693	1247	3365	NaN	NaN	NaN	NaN	NaN	3	1	34	18	13	67	0	1	NaN	NaN	706	NaN	342	NaN	NaN	NaN	NaN	NaN
898	1006	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	15	15	14	67	1	1	637	7	NaN	NaN	490	NaN	NaN	NaN	NaN	NaN
2063	NaN	NaN	NaN	2964	NaN	NaN	NaN	NaN	NaN	3	0	71	7	15	67	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1470	1055	NaN	NaN	2320	NaN	NaN	NaN	NaN	NaN	3	0	66	2	16	67	2	1	312	1001	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1661	828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	70	6	17	67	2	1	NaN	332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2169	1131	NaN	923	NaN	NaN	NaN	NaN	NaN	NaN	3	1	10	10	18	67	1	1	NaN	7	NaN	897	NaN	NaN	NaN	NaN	NaN	NaN
2593	NaN	1957	NaN	1368	1577	NaN	NaN	NaN	NaN	3	1	65	1	19	67	2	1	NaN	805	NaN	NaN	481	NaN	NaN	NaN	NaN	NaN
NaN	1324	NaN	NaN	NaN	1499	NaN	2989	2822	NaN	0	4	35	19	20	67	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	743	NaN
NaN	869	NaN	NaN	NaN	NaN	2130	1557	3256	2439	0	5	40	24	21	67	0	1	NaN	619	NaN	NaN	NaN	NaN	NaN	378	NaN	NaN
NaN	743	1432	NaN	NaN	NaN	NaN	3044	NaN	NaN	1	3	33	17	22	67	0	1	NaN	268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2445	2187	NaN	NaN	NaN	1715	NaN	NaN	NaN	1	4	45	29	23	67	0	1	NaN	NaN	NaN	NaN	NaN	321	552	NaN	NaN	NaN
2889	1036	NaN	1841	NaN	NaN	NaN	NaN	NaN	NaN	3	0	12	12	24	67	1	1	NaN	367	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	1041	NaN	1279	2503	NaN	0	4	39	23	25	67	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	329	NaN	NaN
NaN	NaN	1064	NaN	NaN	861	2578	2346	NaN	NaN	1	3	41	25	26	67	0	1	NaN	7	422	NaN	NaN	819	NaN	NaN	NaN	NaN
NaN	955	2303	NaN	NaN	2054	1690	NaN	1249	NaN	1	4	46	30	27	67	0	1	NaN	7	NaN	NaN	NaN	NaN	486	NaN	NaN	NaN
2112	935	NaN	NaN	3360	NaN	NaN	NaN	NaN	NaN	3	0	11	11	28	67	1	1	NaN	755	NaN	NaN	508	NaN	NaN	NaN	NaN	NaN
NaN	NaN	969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	2	44	28	29	67	0	1	NaN	351	602	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2016	1153	NaN	NaN	NaN	3183	NaN	NaN	NaN	NaN	3	1	72	8	30	67	2	1	7	927	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2743	887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	67	3	31	67	2	1	NaN	7	NaN	NaN	NaN	655	NaN	NaN	NaN	NaN
1132	NaN	NaN	1776	2460	2601	NaN	NaN	NaN	NaN	3	1	69	5	32	67	2	1	NaN	7	546	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	3016	NaN	NaN	NaN	1839	1119	1629	2264	2481	0	5	40	24	1	68	0	1	NaN	599	NaN	NaN	NaN	NaN	NaN	NaN	325	NaN
1228	2199	1524	991	NaN	NaN	NaN	NaN	NaN	NaN	3	0	77	13	2	68	2	1	NaN	544	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1274	2244	1967	2962	2513	NaN	NaN	NaN	NaN	3	1	47	31	3	68	0	1	NaN	7	NaN	978	NaN	NaN	NaN	NaN	NaN	NaN
1605	2589	1883	1346	843	NaN	NaN	NaN	NaN	NaN	3	0	75	11	4	68	2	1	NaN	397	250	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1324	NaN	NaN	1166	NaN	NaN	NaN	NaN	NaN	NaN	3	0	2	2	5	68	1	1	309	594	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1729	1154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	8	8	6	68	1	1	274	1099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1202	2124	1578	2538	2808	1023	NaN	NaN	NaN	3	2	44	28	7	68	0	1	NaN	374	NaN	NaN	NaN	NaN	784	NaN	NaN	NaN
NaN	1663	NaN	NaN	NaN	1872	1401	2673	876	NaN	0	4	35	19	8	68	0	1	NaN	256	NaN	NaN	NaN	NaN	7	NaN	830	NaN
NaN	992	2316	NaN	NaN	1688	1419	2514	1952	NaN	1	4	46	30	9	68	0	1	NaN	7	NaN	NaN	NaN	NaN	552	NaN	NaN	NaN
1697	1483	NaN	1261	967	NaN	NaN	NaN	NaN	NaN	3	1	3	3	10	68	1	1	NaN	7	NaN	NaN	920	635	NaN	NaN	NaN	NaN
NaN	1786	1524	1212	2306	NaN	NaN	NaN	NaN	NaN	3	1	36	20	11	68	0	1	NaN	7	916	1159	NaN	386	NaN	NaN	NaN	NaN
1080	2116	NaN	NaN	1362	NaN	NaN	NaN	NaN	NaN	3	0	73	9	12	68	2	1	NaN	7	669	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1126	780	NaN	NaN	1935	1674	2666	NaN	NaN	1	3	33	17	13	68	0	1	NaN	7	742	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2745	1326	2542	NaN	1186	1792	NaN	NaN	NaN	2	2	48	32	14	68	0	1	NaN	305	NaN	NaN	NaN	1162	NaN	NaN	NaN	NaN
NaN	887	1601	1433	NaN	2759	2329	NaN	NaN	NaN	2	2	38	22	15	68	0	1	NaN	7	572	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1247	1937	1787	1568	NaN	NaN	NaN	NaN	NaN	NaN	3	1	1	1	16	68	1	1	NaN	456	216	NaN	775	NaN	NaN	NaN	NaN	NaN
1364	977	1189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	4	4	17	68	1	1	7	917	281	736	NaN	NaN	NaN	NaN	NaN	NaN
1856	886	1696	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	18	68	1	1	NaN	7	NaN	NaN	NaN	587	NaN	NaN	NaN	NaN
2290	1179	1555	NaN	2060	NaN	NaN	NaN	NaN	NaN	3	0	7	7	19	68	1	1	669	7	NaN	926	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2145	NaN	NaN	NaN	1690	1469	1243	1019	NaN	0	4	39	23	20	68	0	1	NaN	643	NaN	NaN	NaN	464	NaN	237	NaN	NaN
NaN	1351	2113	1923	NaN	1749	NaN	3311	NaN	NaN	2	3	37	21	21	68	0	1	NaN	418	NaN	NaN	NaN	216	951	NaN	NaN	NaN
NaN	851	NaN	NaN	NaN	1851	1436	2025	1030	2189	0	5	43	27	22	68	0	1	NaN	7	NaN	NaN	NaN	282	NaN	NaN	NaN	NaN
NaN	2492	1162	NaN	NaN	1013	2199	1390	NaN	NaN	1	3	41	25	23	68	0	1	NaN	7	NaN	NaN	NaN	616	NaN	NaN	NaN	NaN
1925	1305	NaN	NaN	1539	944	NaN	NaN	NaN	NaN	3	1	79	15	24	68	2	1	549	7	NaN	NaN	NaN	901	NaN	NaN	NaN	NaN
NaN	3020	1061	2325	1351	2583	NaN	NaN	NaN	NaN	3	1	34	18	25	68	0	1	NaN	586	1015	NaN	284	444	NaN	NaN	NaN	NaN
1055	2203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	26	68	1	1	1018	221	773	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1378	2844	1121	1807	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	27	68	2	1	NaN	579	NaN	NaN	NaN	266	NaN	NaN	NaN	NaN
1960	1164	1512	1724	NaN	NaN	NaN	NaN	NaN	NaN	3	0	76	12	28	68	2	1	NaN	211	552	729	936	NaN	NaN	NaN	NaN	NaN
3341	3165	1413	1669	1979	NaN	NaN	NaN	NaN	NaN	3	1	80	16	29	68	2	1	NaN	833	1384	500	662	7	NaN	NaN	NaN	NaN
NaN	NaN	1007	2422	NaN	1429	1229	1780	NaN	NaN	2	3	42	26	30	68	0	1	NaN	600	474	NaN	NaN	7	NaN	NaN	NaN	NaN
2125	1324	NaN	1731	NaN	1107	NaN	NaN	NaN	NaN	3	1	74	10	31	68	2	1	NaN	7	NaN	778	537	1070	NaN	NaN	NaN	NaN
NaN	976	2598	NaN	NaN	2159	2815	1963	2384	NaN	1	4	45	29	32	68	0	1	NaN	668	7	NaN	NaN	NaN	NaN	492	NaN	NaN
NaN	977	1923	NaN	NaN	1641	2611	2355	NaN	NaN	1	3	41	25	1	69	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1713	861	1218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	9	9	2	69	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1693	1073	NaN	1488	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	3	69	1	1	NaN	481	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
1969	1059	NaN	1654	1322	860	NaN	NaN	NaN	NaN	3	1	67	3	4	69	2	1	NaN	7	NaN	NaN	NaN	805	NaN	NaN	NaN	NaN
NaN	1238	1980	1009	NaN	2695	3178	NaN	NaN	NaN	2	2	38	22	5	69	0	1	NaN	7	NaN	967	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1073	NaN	NaN	2219	1917	3069	NaN	NaN	1	3	33	17	6	69	0	1	NaN	226	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1319	2301	1734	2755	2608	NaN	NaN	NaN	NaN	3	1	47	31	7	69	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2673	965	1545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	8	69	2	1	7	712	259	NaN	NaN	NaN	NaN	NaN	NaN	NaN
937	1551	1336	1729	NaN	NaN	NaN	NaN	NaN	NaN	3	0	66	2	9	69	2	1	874	295	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1070	1869	NaN	1306	NaN	NaN	NaN	NaN	NaN	NaN	3	1	69	5	10	69	2	1	1036	7	613	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1536	903	2866	NaN	NaN	2502	NaN	NaN	NaN	NaN	3	1	72	8	11	69	2	1	246	683	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	987	2352	NaN	NaN	1945	1183	3433	3124	NaN	1	4	46	30	12	69	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2516	3183	1751	1918	2316	NaN	NaN	NaN	NaN	NaN	3	0	71	7	13	69	2	1	494	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1962	790	NaN	NaN	1292	NaN	NaN	NaN	NaN	NaN	3	0	11	11	14	69	1	1	NaN	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	665	2528	2237	1783	3095	NaN	NaN	NaN	NaN	3	1	34	18	15	69	0	1	NaN	433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1667	2864	2729	867	1177	NaN	NaN	NaN	NaN	NaN	3	0	12	12	16	69	1	1	NaN	230	NaN	851	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1446	1179	2374	3042	NaN	NaN	NaN	NaN	3	1	36	20	17	69	0	1	NaN	7	825	1131	NaN	NaN	NaN	NaN	NaN	NaN
1737	997	1442	NaN	2754	NaN	NaN	NaN	NaN	NaN	3	0	70	6	18	69	2	1	NaN	203	677	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1133	NaN	NaN	NaN	3330	1646	2173	1895	NaN	0	4	35	19	19	69	0	1	NaN	7	NaN	NaN	NaN	NaN	290	NaN	NaN	NaN
NaN	NaN	1263	4057	NaN	1029	1535	2721	NaN	NaN	2	3	42	26	20	69	0	1	NaN	574	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	1173	2146	1879	NaN	2991	4019	3388	NaN	NaN	2	3	37	21	21	69	0	1	NaN	422	NaN	NaN	NaN	203	NaN	NaN	NaN	NaN
1559	NaN	NaN	976	1291	NaN	NaN	NaN	NaN	NaN	3	1	10	10	22	69	1	1	NaN	7	NaN	620	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	850	1297	2585	3201	3464	NaN	NaN	NaN	3	2	44	28	23	69	0	1	NaN	243	802	NaN	NaN	NaN	NaN	NaN	NaN	NaN
896	2153	2799	NaN	1458	1245	NaN	NaN	NaN	NaN	3	1	15	15	24	69	1	1	849	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1535	1010	2693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	14	14	25	69	1	1	29	255	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	739	NaN	NaN	NaN	1532	1820	2782	2274	2524	0	5	43	27	26	69	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2692	NaN	NaN	NaN	1885	2543	1390	1050	NaN	0	4	39	23	27	69	0	1	NaN	753	NaN	NaN	NaN	NaN	468	NaN	993	NaN
NaN	2735	NaN	NaN	NaN	1984	2169	1119	2492	4624	0	5	40	24	28	69	0	1	NaN	448	NaN	NaN	NaN	NaN	NaN	NaN	206	NaN
NaN	NaN	1662	3378	NaN	1098	3670	NaN	NaN	NaN	2	2	48	32	29	69	0	1	NaN	361	797	NaN	NaN	7	NaN	NaN	NaN	NaN
2389	NaN	1532	2074	NaN	1299	NaN	NaN	NaN	NaN	3	1	16	16	30	69	1	1	NaN	412	NaN	NaN	930	7	NaN	NaN	NaN	NaN
NaN	822	1502	NaN	NaN	2760	2240	2486	2037	NaN	1	4	45	29	31	69	0	1	NaN	594	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2351	1122	1913	2174	1474	NaN	NaN	NaN	NaN	NaN	3	1	65	1	32	69	2	1	551	1080	NaN	275	912	NaN	NaN	NaN	NaN	NaN
2794	2450	1751	2296	1963	3554	NaN	NaN	NaN	NaN	3	1	16	16	1	71	1	1	NaN	1163	NaN	NaN	596	7	NaN	NaN	NaN	NaN
NaN	889	1343	NaN	NaN	1534	2349	2182	NaN	NaN	1	3	41	25	2	71	0	1	NaN	7	443	NaN	NaN	680	NaN	NaN	NaN	NaN
