date_time,user_id,daily_subjnum,unique_id,n
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,10,10__bb6cd8aa-8d86-4afb-b912-307001708acd,55
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,11,11__bb6cd8aa-8d86-4afb-b912-307001708acd,54
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,12,12__bb6cd8aa-8d86-4afb-b912-307001708acd,56
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,13,13__bb6cd8aa-8d86-4afb-b912-307001708acd,55
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,14,14__bb6cd8aa-8d86-4afb-b912-307001708acd,55
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,15,15__bb6cd8aa-8d86-4afb-b912-307001708acd,53
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,16,16__bb6cd8aa-8d86-4afb-b912-307001708acd,51
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,17,17__bb6cd8aa-8d86-4afb-b912-307001708acd,51
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,18,18__bb6cd8aa-8d86-4afb-b912-307001708acd,51
2023-02-02T10:56:13Z,d92a5b61-5735-45b3-960c-49cb3460c987,1,1__d92a5b61-5735-45b3-960c-49cb3460c987,54
2023-02-02T10:56:13Z,d92a5b61-5735-45b3-960c-49cb3460c987,2,2__d92a5b61-5735-45b3-960c-49cb3460c987,54
2023-03-16T10:25:45Z,65403c29-265a-40c8-8adb-491eb3ad4873,1,1__65403c29-265a-40c8-8adb-491eb3ad4873,55
2023-03-16T10:25:45Z,65403c29-265a-40c8-8adb-491eb3ad4873,2,2__65403c29-265a-40c8-8adb-491eb3ad4873,55
2023-03-16T10:25:45Z,65403c29-265a-40c8-8adb-491eb3ad4873,3,3__65403c29-265a-40c8-8adb-491eb3ad4873,53
2023-03-16T10:25:45Z,65403c29-265a-40c8-8adb-491eb3ad4873,4,4__65403c29-265a-40c8-8adb-491eb3ad4873,53
2023-03-22T13:51:26Z,2006eae1-35d7-4c52-9273-40fe61734bc1,1,1__2006eae1-35d7-4c52-9273-40fe61734bc1,54
2023-03-22T13:51:26Z,2006eae1-35d7-4c52-9273-40fe61734bc1,2,2__2006eae1-35d7-4c52-9273-40fe61734bc1,54
2023-03-22T13:51:26Z,2006eae1-35d7-4c52-9273-40fe61734bc1,3,3__2006eae1-35d7-4c52-9273-40fe61734bc1,54
2023-04-20T14:37:34Z,20f121a8-206f-488a-bff2-2c069f7b5a32,1,1__20f121a8-206f-488a-bff2-2c069f7b5a32,54
2023-04-20T14:37:34Z,20f121a8-206f-488a-bff2-2c069f7b5a32,2,2__20f121a8-206f-488a-bff2-2c069f7b5a32,54
2023-04-20T14:37:34Z,20f121a8-206f-488a-bff2-2c069f7b5a32,3,3__20f121a8-206f-488a-bff2-2c069f7b5a32,54
2023-04-20T14:37:34Z,20f121a8-206f-488a-bff2-2c069f7b5a32,4,4__20f121a8-206f-488a-bff2-2c069f7b5a32,54
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,1,1__e1f00415-4f7c-4f2a-937b-05dc62dae366,55
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,2,2__e1f00415-4f7c-4f2a-937b-05dc62dae366,55
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,3,3__e1f00415-4f7c-4f2a-937b-05dc62dae366,51
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,4,4__e1f00415-4f7c-4f2a-937b-05dc62dae366,51
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,5,5__e1f00415-4f7c-4f2a-937b-05dc62dae366,56
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,6,6__e1f00415-4f7c-4f2a-937b-05dc62dae366,56
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,7,7__e1f00415-4f7c-4f2a-937b-05dc62dae366,52
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,8,8__e1f00415-4f7c-4f2a-937b-05dc62dae366,52
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,9,9__e1f00415-4f7c-4f2a-937b-05dc62dae366,53
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,10,10__e1f00415-4f7c-4f2a-937b-05dc62dae366,53
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,11,11__e1f00415-4f7c-4f2a-937b-05dc62dae366,58
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,12,12__e1f00415-4f7c-4f2a-937b-05dc62dae366,58
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,13,13__e1f00415-4f7c-4f2a-937b-05dc62dae366,56
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,14,14__e1f00415-4f7c-4f2a-937b-05dc62dae366,56
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,15,15__e1f00415-4f7c-4f2a-937b-05dc62dae366,15
2023-04-26T08:50:12Z,e1f00415-4f7c-4f2a-937b-05dc62dae366,16,16__e1f00415-4f7c-4f2a-937b-05dc62dae366,15
NA,0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,1,1__0f3402df-0da9-4a51-ac92-6a8c8f8e8c48,55
NA,20060743-de82-417b-b742-e25a4d2b3e42,1,1__20060743-de82-417b-b742-e25a4d2b3e42,54
