TA	TI	CA	CI	subj	trialID	order	cond
0	0	465	652	4	9924	44	9
213	0	418	418	4	997	45	9
730	766	0	0	4	38	46	0
289	0	471	138	4	9920	47	9
488	517	0	428	4	40	48	0
0	0	0	0	4	999	49	9
13	1480	0	0	4	37	50	0
0	0	467	0	4	9916	51	9
1189	0	303	0	4	1	52	0
1319	170	0	0	4	47	53	1
1492	0	0	0	4	31	54	2
1192	300	0	0	4	28	55	2
0	832	430	230	4	45	56	0
196	512	400	381	4	7	57	1
1129	0	0	0	4	23	58	0
1285	0	0	0	4	18	59	0
541	0	0	0	4	48	60	1
1498	0	0	0	4	9923	61	9
55	0	0	317	4	9921	62	9
1496	0	0	0	4	20	63	0
0	0	1492	0	4	9918	64	9
118	1371	0	0	4	51	65	1
0	410	1080	0	4	996	66	9
111	1089	0	39	4	12	67	0
1497	0	0	0	4	24	68	1
1496	0	0	0	4	9915	69	9
0	610	298	367	4	25	70	0
1492	0	0	0	4	53	71	1
1494	0	0	0	4	36	72	2
1276	0	215	0	4	21	73	2
1496	0	0	0	4	46	74	1
0	274	374	847	4	991	75	9
1496	0	0	0	4	33	76	2
1496	0	0	0	4	14	77	1
275	0	690	392	4	9919	78	9
531	579	0	0	4	4	79	0
1496	0	0	0	4	3	80	1
1334	159	0	0	4	26	81	1
290	0	379	0	5	991	1	9
0	0	82	779	5	992	2	9
505	0	374	0	5	993	3	9
1498	0	0	0	5	22	4	2
759	737	0	0	5	49	5	1
826	0	145	0	5	995	6	9
705	0	615	0	5	27	7	2
1496	0	0	0	5	44	8	0
1116	378	0	0	5	8	9	2
660	0	377	456	5	992	10	9
1494	0	0	0	5	9	11	0
1464	0	0	0	5	5	12	2
1010	101	0	0	5	993	13	9
1496	0	0	0	5	50	14	1
915	240	0	0	5	11	15	1
1492	0	0	0	5	19	16	2
351	537	413	17	5	994	17	9
0	0	0	0	5	9917	18	9
0	1492	0	0	5	6	19	2
527	971	0	0	5	42	20	0
1314	0	0	0	5	17	21	2
971	0	520	0	5	34	22	2
86	1410	0	0	5	35	23	2
613	0	0	0	5	9912	24	9
1007	0	0	0	5	10	25	1
1359	0	0	0	5	2	26	1
34	0	202	0	5	39	27	0
0	511	0	0	5	998	28	9
649	0	0	0	5	43	29	0
0	0	0	0	5	54	30	1
0	0	0	151	5	9922	31	9
0	0	0	0	5	9911	32	9
0	0	0	0	5	9913	33	9
146	146	0	0	5	13	34	2
1494	0	0	0	5	15	35	1
0	0	0	0	5	41	36	0
93	0	215	0	5	9914	37	9
587	669	0	0	5	16	38	0
1273	0	133	0	5	52	39	1
330	0	0	0	5	9910	40	9
355	706	0	0	5	29	41	2
0	0	0	0	5	32	42	2
1492	0	0	0	5	30	43	2
0	0	0	0	5	9924	44	9
0	0	0	0	5	997	45	9
482	268	525	0	5	38	46	0
0	0	856	0	5	9920	47	9
995	501	0	0	5	40	48	0
0	0	0	0	5	999	49	9
740	0	0	0	5	37	50	0
0	0	0	0	5	9916	51	9
1013	27	0	296	5	1	52	0
995	112	0	0	5	47	53	1
142	0	0	0	5	31	54	2
405	98	0	0	5	28	55	2
0	229	0	0	5	45	56	0
0	0	1500	0	5	7	57	1
0	1194	0	0	5	23	58	0
865	163	0	0	5	18	59	0
1060	0	0	0	5	48	60	1
0	0	0	0	5	9923	61	9
0	0	0	0	5	9921	62	9
937	555	0	0	5	20	63	0
0	0	0	0	5	9918	64	9
391	1099	0	0	5	51	65	1
0	0	0	0	5	996	66	9
0	686	0	0	5	12	67	0
0	0	0	0	5	24	68	1
0	0	0	0	5	9915	69	9
582	0	96	166	5	25	70	0
1397	0	0	0	5	53	71	1
1180	0	0	0	5	36	72	2
0	0	0	0	5	21	73	2
0	846	0	411	5	46	74	1
0	0	1396	0	5	991	75	9
229	525	0	0	5	33	76	2
1498	0	0	0	5	14	77	1
737	0	0	0	5	9919	78	9
0	0	0	1500	5	4	79	0
0	0	0	0	5	3	80	1
0	928	0	0	5	26	81	1
131	979	2	113	6	991	1	9
0	0	805	504	6	992	2	9
1464	0	0	26	6	993	3	9
241	1252	0	0	6	22	4	2
273	1221	0	0	6	49	5	1
736	0	327	0	6	995	6	9
449	636	0	0	6	27	7	2
579	909	0	0	6	44	8	0
158	1335	0	0	6	8	9	2
550	232	498	212	6	992	10	9
776	716	0	0	6	9	11	0
1070	0	420	0	6	5	12	2
583	426	244	239	6	993	13	9
1094	395	0	0	6	50	14	1
1327	0	0	0	6	11	15	1
1146	0	280	0	6	19	16	2
511	0	458	259	6	994	17	9
463	413	250	363	6	9917	18	9
481	1011	0	0	6	6	19	2
124	1367	0	0	6	42	20	0
287	1207	0	0	6	17	21	2
323	653	47	303	6	34	22	2
679	718	0	93	6	35	23	2
403	244	557	284	6	9912	24	9
0	1113	0	273	6	10	25	1
1492	0	0	0	6	2	26	1
913	482	0	93	6	39	27	0
0	1500	0	0	6	998	28	9
878	610	0	0	6	43	29	0
1002	69	0	417	6	54	30	1
515	0	825	0	6	9922	31	9
451	54	817	0	6	9911	32	9
20	0	193	1152	6	9913	33	9
942	289	0	0	6	13	34	2
1500	0	0	0	6	15	35	1
963	273	0	0	6	41	36	0
658	0	584	81	6	9914	37	9
743	745	0	0	6	16	38	0
1492	0	0	0	6	52	39	1
1080	299	0	59	6	9910	40	9
1015	477	0	0	6	29	41	2
1438	0	0	0	6	32	42	2
1232	97	0	0	6	30	43	2
11	0	1257	226	6	9924	44	9
625	709	0	0	6	997	45	9
0	1211	0	283	6	38	46	0
267	0	742	0	6	9920	47	9
388	1102	0	0	6	40	48	0
316	447	318	226	6	999	49	9
620	870	0	0	6	37	50	0
0	803	541	0	6	9916	51	9
438	766	0	286	6	1	52	0
692	0	183	354	6	47	53	1
1159	332	0	0	6	31	54	2
309	395	685	0	6	28	55	2
830	318	214	0	6	45	56	0
1175	0	0	0	6	7	57	1
637	317	0	368	6	23	58	0
556	0	0	0	6	18	59	0
895	0	0	0	6	48	60	1
937	0	0	277	6	9923	61	9
0	0	876	339	6	9921	62	9
1321	0	0	0	6	20	63	0
393	0	907	0	6	9918	64	9
722	0	0	0	6	51	65	1
176	0	1028	208	6	996	66	9
869	392	0	0	6	12	67	0
0	0	0	0	6	24	68	1
914	359	70	0	6	9915	69	9
921	565	0	0	6	25	70	0
710	157	0	0	6	53	71	1
1497	0	0	0	6	36	72	2
1494	0	0	0	6	21	73	2
587	0	0	0	6	46	74	1
471	89	0	120	6	991	75	9
735	0	0	0	6	33	76	2
1497	0	0	0	6	14	77	1
173	194	0	857	6	9919	78	9
1490	0	0	0	6	4	79	0
1494	0	0	0	6	3	80	1
1497	0	0	0	6	26	81	1
0	0	191	0	7	991	1	9
0	0	362	924	7	992	2	9
892	0	0	393	7	993	3	9
0	0	0	0	7	22	4	2
0	1070	262	0	7	49	5	1
0	0	590	313	7	995	6	9
629	236	0	508	7	27	7	2
0	0	0	327	7	44	8	0
457	692	0	0	7	8	9	2
0	0	827	662	7	992	10	9
256	1240	0	0	7	9	11	0
293	0	0	0	7	5	12	2
16	471	600	0	7	993	13	9
1026	0	0	0	7	50	14	1
1237	0	0	0	7	11	15	1
1498	0	0	0	7	19	16	2
379	180	296	563	7	994	17	9
808	432	0	249	7	9917	18	9
0	1028	0	143	7	6	19	2
849	647	0	0	7	42	20	0
328	1170	0	0	7	17	21	2
1500	0	0	0	7	34	22	2
1494	0	0	0	7	35	23	2
681	0	0	0	7	9912	24	9
1492	0	0	0	7	10	25	1
0	212	191	0	7	2	26	1
782	388	0	0	7	39	27	0
0	0	1006	482	7	998	28	9
1098	0	0	0	7	43	29	0
1495	0	0	0	7	54	30	1
1051	0	287	0	7	9922	31	9
0	0	1494	0	7	9911	32	9
0	392	0	1102	7	9913	33	9
1466	0	0	0	7	13	34	2
1494	0	0	0	7	15	35	1
545	383	0	0	7	41	36	0
1419	73	0	0	7	9914	37	9
1497	0	0	0	7	16	38	0
1496	0	0	0	7	52	39	1
1492	0	0	0	7	9910	40	9
1496	0	0	0	7	29	41	2
1494	0	0	0	7	32	42	2
1493	0	0	0	7	30	43	2
464	0	651	225	7	9924	44	9
599	0	0	616	7	997	45	9
572	0	0	0	7	38	46	0
438	0	1056	0	7	9920	47	9
1494	0	0	0	7	40	48	0
1123	51	0	0	7	999	49	9
390	0	0	0	7	37	50	0
129	158	0	0	7	9916	51	9
607	808	0	0	7	1	52	0
0	656	374	237	7	47	53	1
1496	0	0	0	7	31	54	2
218	823	0	321	7	28	55	2
0	1054	0	223	7	45	56	0
1493	0	0	0	7	7	57	1
0	1395	0	101	7	23	58	0
653	838	0	0	7	18	59	0
1498	0	0	0	7	48	60	1
868	0	623	0	7	9923	61	9
268	0	1226	0	7	9921	62	9
502	990	0	0	7	20	63	0
856	0	637	0	7	9918	64	9
1496	0	0	0	7	51	65	1
612	0	880	0	7	996	66	9
1496	0	0	0	7	12	67	0
1496	0	0	0	7	24	68	1
1233	260	0	0	7	9915	69	9
1494	0	0	0	7	25	70	0
436	0	0	0	7	53	71	1
1037	0	0	0	7	36	72	2
1290	204	0	0	7	21	73	2
1241	0	0	0	7	46	74	1
372	79	219	822	7	991	75	9
1494	0	0	0	7	33	76	2
1496	0	0	0	7	14	77	1
777	87	626	0	7	9919	78	9
1498	0	0	0	7	4	79	0
1495	0	0	0	7	3	80	1
516	632	0	0	7	26	81	1
197	500	425	0	8	991	1	9
1205	0	289	0	8	992	2	9
648	594	210	0	8	993	3	9
1105	0	0	0	8	22	4	2
0	434	224	0	8	49	5	1
462	0	431	600	8	995	6	9
237	1255	0	0	8	27	7	2
1175	0	0	0	8	44	8	0
55	56	0	0	8	8	9	2
204	0	90	0	8	992	10	9
0	0	226	1156	8	9	11	0
384	0	0	0	8	5	12	2
1178	0	152	0	8	993	13	9
955	0	0	0	8	50	14	1
0	1494	0	0	8	11	15	1
0	399	0	0	8	19	16	2
0	1176	321	0	8	994	17	9
0	0	0	0	8	9917	18	9
1493	0	0	0	8	6	19	2
0	26	0	517	8	42	20	0
0	792	0	0	8	17	21	2
815	330	0	0	8	34	22	2
0	917	0	0	8	35	23	2
0	0	1495	0	8	9912	24	9
0	0	0	0	8	10	25	1
922	572	0	0	8	2	26	1
0	0	0	0	8	39	27	0
0	0	852	641	8	998	28	9
0	1175	315	0	8	43	29	0
0	0	0	0	8	54	30	1
0	0	0	0	8	9922	31	9
0	0	933	0	8	9911	32	9
0	775	0	181	8	9913	33	9
0	0	0	0	8	13	34	2
599	567	0	211	8	15	35	1
1153	341	0	0	8	41	36	0
0	0	0	0	8	9914	37	9
1098	341	0	0	8	16	38	0
0	0	0	0	8	52	39	1
0	1172	175	0	8	9910	40	9
0	0	0	0	8	29	41	2
184	1308	0	0	8	32	42	2
278	0	209	462	8	30	43	2
0	0	0	0	8	9924	44	9
611	0	0	0	8	997	45	9
0	0	0	13	8	38	46	0
0	0	0	0	8	9920	47	9
0	0	0	0	8	40	48	0
0	0	700	0	8	999	49	9
477	802	0	0	8	37	50	0
0	88	556	396	8	9916	51	9
992	227	0	0	8	1	52	0
0	0	641	0	8	47	53	1
1107	0	0	0	8	31	54	2
439	0	0	0	8	28	55	2
0	0	0	0	8	45	56	0
458	151	0	262	8	7	57	1
0	0	0	0	8	23	58	0
0	675	0	0	8	18	59	0
412	150	0	0	8	48	60	1
1276	0	218	0	8	9923	61	9
0	0	687	205	8	9921	62	9
0	397	0	0	8	20	63	0
0	0	354	660	8	9918	64	9
95	268	0	0	8	51	65	1
0	53	0	901	8	996	66	9
0	0	0	0	8	12	67	0
1494	0	0	0	8	24	68	1
0	274	734	0	8	9915	69	9
1201	0	0	0	8	25	70	0
0	0	0	0	8	53	71	1
0	0	0	0	8	36	72	2
0	0	0	0	8	21	73	2
1049	267	0	0	8	46	74	1
0	0	195	0	8	991	75	9
94	800	0	0	8	33	76	2
329	1161	0	0	8	14	77	1
836	45	0	0	8	9919	78	9
0	1077	143	0	8	4	79	0
17	1085	0	353	8	3	80	1
218	422	266	0	8	26	81	1
756	337	0	58	9	991	1	9
296	0	0	374	9	992	2	9
650	0	230	255	9	993	3	9
1082	0	0	0	9	22	4	2
72	1398	23	0	9	49	5	1
559	0	718	215	9	995	6	9
424	370	698	0	9	27	7	2
1496	0	0	0	9	44	8	0
99	1220	171	0	9	8	9	2
830	0	143	132	9	992	10	9
745	745	0	0	9	9	11	0
1496	0	0	0	9	5	12	2
871	480	79	0	9	993	13	9
1492	0	0	0	9	50	14	1
